



"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";1;92;92;91;41;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;207;207;207;39;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;204;204;204;36;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;275;275;275;0;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;55;55;55;15;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";1;108;108;107;53;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;224;224;224;27;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;170;170;170;0;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;191;191;191;39;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;77;77;77;38;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;178;178;178;26;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;193;193;193;38;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";1;187;187;186;27;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;504;504;504;323;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;99;99;99;41;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";1;182;182;181;48;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;156;156;156;37;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;332;332;332;0;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;59;59;59;15;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";1;117;117;116;56;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;263;263;263;25;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;179;179;179;0;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;200;200;200;39;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;83;83;83;38;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;178;178;178;21;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;193;193;193;41;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";0;177;177;177;25;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;537;537;537;354;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;86;86;86;41;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;196;196;196;39;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;196;196;196;33;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;246;246;246;0;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;53;53;53;16;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";0;98;98;98;51;





"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";111;1071;1099;960;493;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;400;400;400;0;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";3;742;742;739;487;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";5;232;232;227;159;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";1;321;321;320;118;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";1;459;459;458;223;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";0;291;291;291;100;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";1;940;940;939;699;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;177;177;177;129;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";1;322;322;321;102;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;289;289;289;100;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;394;394;394;0;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;84;84;84;35;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";1;346;346;345;219;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;286;286;286;58;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;125;125;125;0;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;291;291;291;78;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;123;123;123;73;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;217;217;217;32;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;264;264;264;76;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";0;227;227;227;47;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";1;523;523;522;322;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;121;121;121;69;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";1;223;223;222;51;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;227;227;227;60;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;309;309;309;0;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;62;63;62;19;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";0;165;165;165;99;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";1;198;198;197;42;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;99;99;99;0;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;210;210;210;57;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;103;103;103;55;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";1;172;172;171;30;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;202;202;202;62;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";1;195;195;194;55;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";2;480;480;478;314;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;110;110;110;63;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;187;187;187;50;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;221;221;221;56;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;297;297;297;0;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;62;62;62;17;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";0;130;130;130;86;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;211;211;211;37;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;105;105;105;0;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;197;197;197;51;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;94;94;94;48;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;185;185;185;30;
